chunk_id,content
0,"O que é que você está fazendo?
O que é que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
Eu tenho realmente realmente realmente.
E também eu estou fazendo
O que você está fazendo?
Então, eu tenho que fazer algo de recuperar.
Eu vou dizer, o que você está fazendo?
E vou fazer um lugar que eu tenho para me fazer.
Eu tenho que ir para a primeira semana de channel.
Eu acho que, na descrição do vídeo,
Eu vou fazer algo que você vai ter,
Eu vou ir para a segunda semana de video.
Eu vou fazer uma coisa que você vai fazer.
E for as pessoas que estão aqui,
Você não quer dizer que você não tem que fazer o mesmo,
Vamos fazer o jei"
1,"as pessoas que estão aqui,
Você não quer dizer que você não tem que fazer o mesmo,
Vamos fazer o jeito,
O que você está fazendo?
O que você está fazendo aqui?
O que você está fazendo?
Então, se você goar para a parte da minha vida,
Eu vou fazer um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de"
2,"o de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco
o pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um"
3,"um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco
a gente vai fazer o pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de u"
4,"de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um
e quando você gober over o vídeo você vai fazer isso que você pode fazer em seus vídeos
então para o que vamos fazer isso, vamos fazer isso em um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de"
5,"o de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco
um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um"
6,"e um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco
de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um"
7,"e um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um
pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um"
8,"e um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de
um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um"
9,"e um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco
um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um po"
10,"m pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco
de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um po"
11,"m pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um
que eu vou fazer a linda do pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de u"
12,"de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um
pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de u"
