chunk_id,content
0,"O que é que você está fazendo?
O que é que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
O que você está fazendo?
Eu tenho realmente realmente realmente"
1,"tá fazendo?
O que você está fazendo?
O que você está fazendo?
Eu tenho realmente realmente realmente.
E também eu estou fazendo
O que você está fazendo?
Então, eu tenho que fazer algo de recuperar.
Eu vou dizer, o que você está fazendo?
E vou fazer um lugar que eu tenho para me fazer.
Eu tenho que ir para a primeira semana de channel.
Eu acho que, na descrição do vídeo,
Eu vou fazer algo que você vai ter,
Eu vou ir para a segunda semana de video.
Eu vou fazer uma coisa que você vai fazer.
E for"
2,"vai ter,
Eu vou ir para a segunda semana de video.
Eu vou fazer uma coisa que você vai fazer.
E for as pessoas que estão aqui,
Você não quer dizer que você não tem que fazer o mesmo,
Vamos fazer o jeito,
O que você está fazendo?
O que você está fazendo aqui?
O que você está fazendo?
Então, se você goar para a parte da minha vida,
Eu vou fazer um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de"
3,o de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um
4,"um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco
o pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de"
5,"pouco de um pouco
o pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um"
6,um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouc
7,"pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco
a gente vai fazer o pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco"
8,uco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de u
9,"de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um
e quando você gober over o vídeo você vai fazer isso que você pode fazer em seus vídeos
então para o que vamos fazer isso, vamos fazer isso em um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um pouco de um"
